,url,checked,title
75,https://mysinglife.singlife.com/,True,MySinglife
76,https://online.singlife.com/,True,Singlife
77,https://ebh.singlife.com/eb/mindef-mha/?existing=1,True,MINDEF & MHA Group Insurance
78,https://ebh.singlife.com/eb/mindef-mha/?groupName=MHA&existing=1,True,MINDEF & MHA Group Insurance
79,https://ebh.singlife.com/eb/pogis/?existing=1,True,Public Officers Group Insurance
80,https://applogin.singlife.com/SQS/login/,True,Pocket SQS
81,https://adviser.singlife.com/,True,Singlife
82,https://singlife.com/en/login,True,"Singlife Portal Login | Access, View & Manage Your Policy"
83,https://singlife.com/en/cookie-policy,True,Cookie Policy
84,https://singlife.com/en/faq/gst-hike-for-life-and-health-products/details.html/_faq-hub_gst-hike-for-life-and-health-products/general-faqs.html,True,General FAQs
85,https://singlife.com/en/faq/gst-hike-for-corporate-clients/details.html/_faq-hub_gst-hike-corporate/general-faqs.html,True,General FAQs
86,https://singlife.com/en/medical-insurance/singlife-cancer-cover-plus,True,Cancer Insurance Plan | Singlife Cancer Cover Plus | Singlife Singapore
87,https://singlife.com/en/investment-linked-plan/sure-invest,True,Singlife Sure Invest | Investment-Linked Plan (ILP) | Singlife Singapore
88,https://singlife.com/en/disability-insurance/careshield,True,Singlife CareShield Standard & Singlife CareShield Plus | Singlife Singapore
89,https://singlife.com/en/investment-linked-plan/savvy-invest,True,Singlife Savvy Invest | Investment-Linked Plans | Singlife Singapore
90,https://singlife.com/en/downloads/life-health-savings-retirement,True,Form Library
91,https://singlife.com/content/public/sg/en/prod-backup/navigator.html,True,Singlife: Insurance & Investment Singapore. Buy Online or Get Advice
92,https://singlife.com/en/form/enquirePolicy,True,Form - policy enquiry - Singlife
93,https://singlife.com/en/contact-us/partners,True,Our partners
94,https://singlife.com/en/mindef-and-mha,True,MINDEF & MHA Group Insurance Scheme | Singlife Singapore
95,https://singlife.com/en/common-reporting-standard,True,Common Reporting Standard
96,https://singlife.com/en/fatca,True,FATCA - Singlife
97,https://singlife.com/en/fair-dealing,True,Privacy Policy - Singlife
98,https://www.instagram.com/singlife/,True,Singlife (@singlife) • Instagram photos and videos
99,https://www.facebook.com/SinglifeSG,True,Singlife | Singapore Singapore
100,https://singlife.com/en/terms-and-conditions,True,Terms & Conditions - Singlife
101,https://singlife.com/en/pdpa,True,PDPA
102,https://singlife.com/en/security-practices,True,Security Practices
103,https://singlife.com/en/speak-out-policy,True,Speak Out Policy
104,https://singlife.com/en/blog/money/2020/what-to-avoid-doing-investments-losing-money,True,What to do if your investments are losing money | Singlife Singapore
105,https://singlife.com/en/blog/money/2023/health-insurance-and-cancer-coverage-in-singapore,True,Health insurance and cancer coverage in Singapore: A guide to making an informed decision | Singlife Singapore
106,https://singlife.com/en/blog/money/2015/what-insurance-should-i-buy-for-my-children,True,What insurance should I get for my children? | Singlife SG
107,https://singlife.com/content/dam/public/sg/documents/life-insurance/singlife-simple-term/brochure.pdf,True,brochure
108,https://singlife.com/en/life-insurance/simple-term,True,Singlife Simple Term | Affordable Insurance | Singlife Singapore
109,https://singlife.com/content/dam/public/sg/documents/life-insurance/singlife-elite-term/brochure.pdf,True,brochure
110,https://singlife.com/en/life-insurance/elite-term,True,Singlife Elite Term | Flexible Life Insurance | Singlife SG
111,https://singlife.com/content/dam/public/sg/documents/life-insurance/singlife-whole-life/brochure.pdf,True,brochure
112,https://singlife.com/en/life-insurance/whole-life,True,Singlife Whole Life | High Cash Value Insurance | Singlife Singapore
